keys,en,zh,ru,ko
ABILITY_RAIN,Rain of Arrows,箭雨,Дождь стрел,화살의 비
ABILITY_RAIN_DESC,Arrows rain from above,箭雨从天而降,Обрушьте дождь стрел на ваших врагов!,위에서 화살이 비처럼 쏟아집니다.
ABILITY_RAPIDSHOT,Rapid Shot,快速射击,Быстрый выстрел,래피드 샷
ABILITY_RAPIDSHOT_DESC,Shoots three arrows in rapid succession,快速连续射出三支箭,Выпускает три стрелы подряд,세 개의 화살을 빠르게 연속으로 쏜다.
ABILITY_SPLITSHOT,Split Shot,分镜头,Сплит-шот,스플릿 샷
ABILITY_SPLITSHOT_DESC,Shoots a cone of three arrows,射出一个由三支箭组成的圆锥体,Выпускает конус из трех стрел,세 개의 화살로 구성된 원뿔을 쏩니다.
ABILITY_TRAP,Trap,陷阱,Ловушка,함정
ABILITY_TRAP_DESC,Leave a trap behind that stuns enemies,在后面留下一个陷阱，让敌人眩晕,"Оставляйте за собой ловушку, которая оглушает врагов",적을 기절시키는 함정을 남겨 둡니다.
BACK_TO_MENU,Back to Menu,返回菜单,Меню,메뉴로 돌아가기
BOSS_RUSH,Boss Rush,老板冲刺,Босс Раш,보스 러쉬
CLASS_ARCHER,Archer,射手,Лучник,사수
CLASS_BEASTMASTER,Beastmaster,兽王,Повелитель зверей,야수조련사
CLASS_DRUID,Druid,德鲁伊,Друид,사제
CLASS_KNIGHT,Knight,骑士,Рыцарь,나이트
CLASS_RANDOM,Select Random Class,选择随机类别,Выберите случайный класс,랜덤 클래스 선택
CLASS_ROGUE,Rogue,流氓,Плут,악성
CLASS_SHAMAN,Shaman,萨满,Шаман,샤먼
CLASS_WIZARD,Wizard,巫师,Колдун,마법사
GAME_NAME,SurvivalScape,生存景观,SurvivalScape,서바이벌스케이프
LEVEL_CHALLENGE,Weekly Challenge,每周挑战,Еженедельное испытание,주간 챌린지
LEVEL_DESERT,Desert,沙漠,Пустыня,사막
LEVEL_DUNGEON,Dungeon,地牢,Темница,던전
LEVEL_GARDEN,Garden,花园,Сад,정원
LEVEL_ICE,Ice,冰,Вечные льды,얼음
LEVEL_SEWER,Sewer,下水道,Коллектор,하수도
LEVEL_VOLCANO,Volcano,火山,Вулкан,화산
MENU_CREDITS,Credits,学分,Разработчики,크레딧
MENU_FEEDBACK,Feedback,反馈,Обратная связь,피드백
MENU_GUIDE,Player Guide,玩家指南,Руководство игрока,플레이어 가이드
MENU_LEVELS,Levels,水平,Уровни,수준
MENU_LEVELSELECT,Level Select,级别选择,Выбор уровня,레벨 선택
MENU_PATCH,Patch Notes,补丁说明,Обновления,패치 노트
MENU_PREVIOUSRUNS,Previous Runs,以前的运行,Статистика забегов,이전 실행
MENU_QUIT,Quit,退出,Выйти,사임하다
MENU_SETTINGS,Settings,设置,Параметры,설정
MENU_START,Start,开始,Играть,시작하다
MENU_STATS,Career Stats,职业统计,Статистика карьеры,커리어 스탯
PR_CLASS,Class,类,Класс,수업
PR_LEVEL,Level,水平,Уровень,수준
PR_OUTCOME,Outcome,结果,Результат,결과
PR_SCORE,Score,得分,Счёт,점수
SELECT_CLASS,Select Class,选择班级,Выберите класс,클래스 선택
MENU_DISCORD,Join the Discord,加入 Discord,Присоединяйтесь в Discord,디스코드에 참여하세요
ABILITY_AXARANG,Axarang,阿克萨朗,Аксаранг,엑사랑
ABILITY_AXARANG_DESC,Throw an axe that flies back to you,扔出一把斧头，飞回你身边,"Выпускает возвращающийся к персонажу топор",당신에게 다시 날아가는 도끼를 던집니다.
ABILTIY_SHIELDSPIN,Shield Spin,盾牌旋转,Вращающийся щит,쉴드 스핀
